2025-09-07T13:47:01.765325,maça,7,35.00
2025-09-07T13:48:32.004134,maça,1,5.00
2025-09-07T13:48:35.812301,maça,1,5.00
2025-09-07T13:48:54.635598,maça,1,5.00
2025-09-07T13:49:04.299102,maça,1,5.00
2025-09-07T13:53:28.017941,maça,1,2.00
2025-09-07T13:53:28.642775,maça,1,2.00
2025-09-07T13:53:29.232189,maça,1,2.00
2025-09-07T13:53:29.830154,maça,1,2.00
2025-09-07T13:53:30.343612,maça,1,2.00
2025-09-07T13:54:56.648641,maça,1,2.00
2025-09-07T13:54:57.167134,maça,1,2.00
2025-09-07T13:54:57.345291,maça,1,2.00
2025-09-07T13:55:08.025208,banana,1,1.00
2025-09-07T13:55:12.889053,banana,1,1.00
2025-09-07T13:55:15.205396,banana,1,1.00
2025-09-07T13:55:18.407507,banana,1,1.00
2025-09-09T09:26:32.702346,melancia,15,105.00
